Field(mT)	GrayLevel	File
-220.384462 	 1576.331543 	 image0000.png
-212.360954 	 1583.681274 	 image0001.png
-204.334371 	 1594.851685 	 image0002.png
-196.327567 	 1607.132080 	 image0003.png
-188.304275 	 1619.966553 	 image0004.png
-180.255070 	 1632.529053 	 image0005.png
-172.238729 	 1645.575073 	 image0006.png
-164.267043 	 1658.513428 	 image0007.png
-156.271801 	 1671.968872 	 image0008.png
-148.279733 	 1685.840820 	 image0009.png
-140.299065 	 1699.404785 	 image0010.png
-132.286097 	 1713.342285 	 image0011.png
-124.262316 	 1727.704834 	 image0012.png
-116.221472 	 1741.742310 	 image0013.png
-108.200630 	 1756.310303 	 image0014.png
-100.166879 	 1770.477417 	 image0015.png
-92.117088 	 1785.113647 	 image0016.png
-84.129663 	 1799.958130 	 image0017.png
-76.175364 	 1814.261353 	 image0018.png
-68.173473 	 1829.100464 	 image0019.png
-60.193954 	 1844.601562 	 image0020.png
-52.203313 	 1859.687866 	 image0021.png
-44.251556 	 1875.484131 	 image0022.png
-36.271160 	 1890.596558 	 image0023.png
-28.249638 	 1906.309326 	 image0024.png
-20.240042 	 1922.259399 	 image0025.png
-12.236756 	 1937.922241 	 image0026.png
-4.214164 	 1954.142212 	 image0027.png
3.777727 	 1970.129150 	 image0028.png
11.748813 	 1985.992676 	 image0029.png
19.753131 	 2001.268311 	 image0030.png
27.747092 	 2017.949219 	 image0031.png
35.712797 	 2034.981812 	 image0032.png
43.706758 	 2052.238281 	 image0033.png
51.741460 	 2069.226074 	 image0034.png
59.763722 	 2086.738525 	 image0035.png
67.782001 	 2104.109863 	 image0036.png
75.788731 	 2121.983154 	 image0037.png
83.811392 	 2139.468994 	 image0038.png
91.807464 	 2157.580322 	 image0039.png
99.763624 	 2175.878174 	 image0040.png
107.712291 	 2193.517334 	 image0041.png
115.688416 	 2211.827881 	 image0042.png
123.663255 	 2229.714111 	 image0043.png
131.628736 	 2248.285400 	 image0044.png
139.617387 	 2267.008789 	 image0045.png
144.596952 	 2280.334717 	 image0046.png
145.604820 	 2286.136719 	 image0047.png
146.597265 	 2289.171387 	 image0048.png
147.605991 	 2291.819824 	 image0049.png
148.601863 	 2294.354248 	 image0050.png
149.611874 	 2296.634033 	 image0051.png
150.592109 	 2298.932861 	 image0052.png
151.608331 	 2301.562012 	 image0053.png
152.592637 	 2303.729736 	 image0054.png
153.601362 	 2306.292725 	 image0055.png
154.609659 	 2308.959473 	 image0056.png
155.615385 	 2312.729248 	 image0057.png
156.601404 	 2318.118652 	 image0058.png
157.606410 	 2327.698486 	 image0059.png
158.600908 	 2342.410400 	 image0060.png
159.615374 	 2357.993652 	 image0061.png
160.595058 	 2383.834473 	 image0062.png
161.623050 	 2411.664307 	 image0063.png
162.603379 	 2420.918701 	 image0064.png
163.620636 	 2423.241211 	 image0065.png
164.601393 	 2425.651855 	 image0066.png
165.619509 	 2427.974854 	 image0067.png
166.614437 	 2430.329834 	 image0068.png
167.624823 	 2432.117676 	 image0069.png
168.610304 	 2433.981201 	 image0070.png
169.620905 	 2436.064697 	 image0071.png
171.619135 	 2439.984863 	 image0072.png
179.605547 	 2453.881348 	 image0073.png
187.571176 	 2471.377686 	 image0074.png
195.538438 	 2489.533691 	 image0075.png
203.490508 	 2508.363770 	 image0076.png
211.481432 	 2526.909912 	 image0077.png
219.484766 	 2546.161377 	 image0078.png
211.478890 	 2538.539551 	 image0079.png
203.495626 	 2522.393799 	 image0080.png
195.536945 	 2504.433838 	 image0081.png
187.562168 	 2487.069580 	 image0082.png
179.603402 	 2468.917969 	 image0083.png
171.618705 	 2451.479004 	 image0084.png
163.622568 	 2433.261963 	 image0085.png
155.613885 	 2415.219727 	 image0086.png
147.598707 	 2397.858398 	 image0087.png
139.621036 	 2379.669189 	 image0088.png
131.636034 	 2361.642090 	 image0089.png
123.662611 	 2344.471191 	 image0090.png
115.682839 	 2326.785400 	 image0091.png
107.707357 	 2310.181396 	 image0092.png
99.763624 	 2292.728027 	 image0093.png
91.805755 	 2275.270752 	 image0094.png
83.812898 	 2258.911621 	 image0095.png
75.785288 	 2241.538086 	 image0096.png
67.781356 	 2225.180908 	 image0097.png
59.762862 	 2208.318848 	 image0098.png
51.731795 	 2191.585693 	 image0099.png
43.708046 	 2175.244385 	 image0100.png
35.701401 	 2159.173584 	 image0101.png
27.749457 	 2143.761963 	 image0102.png
19.750338 	 2127.567383 	 image0103.png
11.751607 	 2111.366211 	 image0104.png
3.777299 	 2096.357910 	 image0105.png
-4.220804 	 2080.655518 	 image0106.png
-12.239340 	 2065.493652 	 image0107.png
-20.252100 	 2050.097656 	 image0108.png
-28.256751 	 2034.686646 	 image0109.png
-36.277626 	 2019.978638 	 image0110.png
-44.250701 	 2004.893555 	 image0111.png
-52.203527 	 1990.401123 	 image0112.png
-60.197383 	 1975.543213 	 image0113.png
-68.177116 	 1960.706055 	 image0114.png
-76.177296 	 1946.387573 	 image0115.png
-84.126228 	 1931.916748 	 image0116.png
-92.117088 	 1917.467651 	 image0117.png
-100.161931 	 1903.749878 	 image0118.png
-108.201705 	 1889.690918 	 image0119.png
-116.227279 	 1876.489746 	 image0120.png
-124.262101 	 1862.749268 	 image0121.png
-132.288462 	 1849.618652 	 image0122.png
-140.304224 	 1836.049072 	 image0123.png
-145.297247 	 1826.425293 	 image0124.png
-146.284613 	 1822.473999 	 image0125.png
-147.291938 	 1820.499268 	 image0126.png
-148.267501 	 1818.880615 	 image0127.png
-149.278903 	 1817.075317 	 image0128.png
-150.264767 	 1815.385376 	 image0129.png
-151.282821 	 1813.548706 	 image0130.png
-152.269329 	 1811.474243 	 image0131.png
-153.283950 	 1808.297241 	 image0132.png
-154.267454 	 1803.465698 	 image0133.png
-155.290229 	 1792.583984 	 image0134.png
-156.278239 	 1776.693604 	 image0135.png
-157.287066 	 1756.678955 	 image0136.png
-158.280993 	 1727.506348 	 image0137.png
-159.288277 	 1691.526733 	 image0138.png
-160.274986 	 1675.603760 	 image0139.png
-161.288484 	 1673.480347 	 image0140.png
-162.270693 	 1671.703613 	 image0141.png
-163.253759 	 1670.029053 	 image0142.png
-164.263614 	 1668.504395 	 image0143.png
-165.257396 	 1666.960815 	 image0144.png
-166.266394 	 1665.249878 	 image0145.png
-167.249460 	 1663.409058 	 image0146.png
-168.258030 	 1661.854370 	 image0147.png
-169.260598 	 1660.218506 	 image0148.png
-170.236806 	 1658.726807 	 image0149.png
-172.244730 	 1655.913696 	 image0150.png
-180.255715 	 1646.070190 	 image0151.png
-188.301696 	 1633.297363 	 image0152.png
